parameters	r2_cv_mean	explained_variance_cv_mean	neg_mean_squared_error_cv_mean	neg_mean_absolute_error_cv_mean	time	seed	dataset	algorithm	_id
{'bootstrap': 'true', 'criterion': 'mse', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.4, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.17485156185645945	0.1826238917064658	-0.8187091248844528	-0.7045403984661899	0.13493742942810058	24800	608_fri_c3_1000_10	RandomForestRegressor	982dc956cdcaff8bc68982ac92557867f5c46d9c9a5c86ccf91f1b1ab2f16af4
{'C': 1, 'cache_size': 700, 'coef0': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	0.12726387720043553	0.20258337403406287	-0.8271008139602671	-0.7527819906891954	0.0046297073364257825	24800	647_fri_c1_250_10	SVR	a03a875ca0a3528d77bf2bc95da16dabbdb8c7c3ee9c8cd80daac01ef0f67619
{'C': 0.001, 'cache_size': 700, 'coef0': 0.001, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	-0.009143058816516248	1.0658258720042112e-10	-1.000880832273325	-0.8188779125939479	0.04607186317443848	24800	595_fri_c0_1000_10	SVR	9a520e32e0ee934b417483431b1114239ee6f2c74721c812564e01c6816b97fd
{'C': 0.01, 'cache_size': 700, 'coef0': 0.0001, 'degree': 2, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	-0.27517234214407704	0.0051026649576512715	-9475.488895156386	-70.74645014747405	0.0007090568542480469	24800	706_sleuth_case1202	SVR	9f587c3497db3e74321d0bbc9cbf051af08552f665262f736665f338809582ee
{'criterion': 'mse', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.35, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.25421683565233416	0.2605318335714313	-0.7391703433241134	-0.7088246822467024	0.002970790863037109	24800	598_fri_c0_1000_25	DecisionTreeRegressor	ec6d23bd5501ece4705f9b7bd220d4db9e4c0e375fd25a5eba90a9618d518f1f
{'criterion': 'mse', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.25, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	-0.03954452123890577	0.14096996905239742	-0.6623463130892534	-0.6466498682825124	0.0002881288528442384	24800	656_fri_c1_100_5	DecisionTreeRegressor	4ce1ebd69d1e87137a2f3823947828e81f764c483d3f05510e44138967617522
{'criterion': 'mae', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.6175621427648063	0.6277988759616646	-0.3633254225584143	-0.4672458305897889	0.01485586166381836	24800	649_fri_c0_500_5	DecisionTreeRegressor	4f1d975649c34787fd4c9c229668d0ecfa18c7e8c25880da3594c361214383fb
{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.469065384948338	0.5038144593993499	-0.4748474617400724	-0.5492003388162703	0.002769327163696289	24800	605_fri_c2_250_25	DecisionTreeRegressor	753fbf492838572037dc4352ccb69e0da2f73fc4af55037caea8831f4bcef72c
{'bootstrap': 'false', 'criterion': 'mse', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.25, 'n_estimators': 500, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.7432032665836709	0.7566146110334715	-547.4898215149489	-15.670822593150106	0.6026960134506225	24800	695_chatfield_4	RandomForestRegressor	9a92dedd2967e1463a15f38bfc7de3b6fb8dc3b88d7ee58569d9f9fc0bc7e6fd
{'C': 0.001, 'cache_size': 700, 'coef0': 0.1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.14434997732971167	5.2186944657695034e-06	-1.0241337657847147	-0.8161180650367791	0.0009633541107177734	24800	621_fri_c0_100_10	SVR	4e432a695bdbced12866f87e183643fa062977454f8e386d38013894bf3beb85
